"";"Lineage_Name";"parasiteGenus";"order";"family";"genus";"species";"continent";"country";"region";"site";"strategy_3";"distance_4";"Body_mass";"Territoriality";"Range_Size";"LocID";"ParasiteID";"Latitude";"Longitude"
"1";"ABSUP01";"Haemoproteus";"Passeriformes";"Sylviidae";"Abroscopus";"Abroscopus_superciliaris";"Asia";"China";"";"Xinhuikuan";"resident";"resident";"0.81157500599999999";"weak";357;"Loc 104";"Parasite 1";"21.58";"101.70"
"2";"ABUCUJ01";"Haemoproteus";"Galliformes";"Cracidae";"Pipile";"Pipile_cujubi";"South America";"Brazil";"Amazonas";"Caxiuana";"resident";"resident";"3.0776658129999999";"strong";176;"Loc 6";"Parasite 2";"-1.95";"-51.60"
"3";"ACAED02";"Haemoproteus";"Passeriformes";"Sylviidae";"Acrocephalus";"Acrocephalus_aedon";"Asia";"China";"";"Beijing Normal University Campus";"strict_mig";"variable";"1.350248018";"weak";628;"Loc 135";"Parasite 3";"39.95";"116.35"
"4";"ACAED02";"Haemoproteus";"Passeriformes";"Aegithalidae";"Aegithalos";"Aegithalos_caudatus";"Asia";"China";"";"Xiaolongmen Forest Park";"resident";"resident";"0.93449845099999995";"weak";1940;"Loc 136";"Parasite 3";"39.95";"115.43"
"5";"ACAED02";"Haemoproteus";"Passeriformes";"Fringillidae";"Emberiza";"Emberiza_elegans";"Asia";"China";"";"Xiaolongmen Forest Park";"partial_mig";"short";"1.2263420869999999";"weak";305;"Loc 136";"Parasite 3";"39.95";"115.43"
"6";"ACAED02";"Haemoproteus";"Passeriformes";"Fringillidae";"Emberiza";"Emberiza_pusilla";"Asia";"China";"";"Beijing Normal University Campus";"strict_mig";"long";"1.163459552";"weak";779;"Loc 135";"Parasite 3";"39.95";"116.35"
"7";"ACAED02";"Haemoproteus";"Passeriformes";"Paridae";"Parus";"Parus_major";"Asia";"China";"";"Xiaolongmen Forest Park";"resident";"resident";"1.210853365";"weak";3103;"Loc 136";"Parasite 3";"39.95";"115.43"
"8";"ACAED02";"Haemoproteus";"Passeriformes";"Paridae";"Parus";"Parus_venustulus";"Asia";"China";"";"Xiaolongmen Forest Park";"partial_mig";"short";"1.025305865";"weak";150;"Loc 136";"Parasite 3";"39.95";"115.43"
"9";"ACAED02";"Haemoproteus";"Passeriformes";"Sylviidae";"Phylloscopus";"Phylloscopus_proregulus";"Asia";"China";"";"Xiaolongmen Forest Park";"resident";"resident";"0.77815124999999996";"weak";533;"Loc 136";"Parasite 3";"39.95";"115.43"
"10";"ACAED02";"Haemoproteus";"Passeriformes";"Sittidae";"Sitta";"Sitta_europaea";"Asia";"China";"";"Xiaolongmen Forest Park";"resident";"resident";"1.308991029";"strong";2373;"Loc 136";"Parasite 3";"39.95";"115.43"
"11";"ACAFLA01";"Leucocytozoon";"Passeriformes";"Fringillidae";"Carduelis";"Carduelis_flammea";"North America";"United States";"Alaska";"Denali Highway Corkscrew Creek";"partial_mig";"variable";"1.1139433519999999";"weak";1975;"Loc 206";"Parasite 4";"63.03";"-147.00"
"12";"ACAFLA02";"Leucocytozoon";"Passeriformes";"Fringillidae";"Carduelis";"Carduelis_flammea";"North America";"United States";"Alaska";"Denali Highway near Seattle Creek";"partial_mig";"variable";"1.1139433519999999";"weak";1975;"Loc 209";"Parasite 5";"63.32";"-148.22"
"13";"ACAFLA02";"Leucocytozoon";"Passeriformes";"Fringillidae";"Carduelis";"Carduelis_flammea";"North America";"United States";"Alaska";"Denali Highway Corkscrew Creek";"partial_mig";"variable";"1.1139433519999999";"weak";1975;"Loc 206";"Parasite 5";"63.03";"-147.00"
